Water_type	Indicator	Unit	Months	Depth_stratum	Region	Type	Typename	Min #year	Min per year	RefCond	H-G	G-M	M-P	P-B	Worst	ParameterVector_1	ParameterVector_2	ParameterVector_3	ParameterVector_4	ParameterVector_5	ParameterVector_6	ParameterVector_7	ParameterVector_8	ParameterVector_9	ParameterVector_10	V_WBperiod	V_WBannual	ntype_WB
Coastal	CoastBQI	No unit	1,2,..,12	>20 m	Västerhavet	01n	Västkustens inre kustvatten	3	1	17.6	15.7	12	8	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.13794331	3.579829769	41
Coastal	CoastBQI	No unit	1,2,..,12	>20 m	Västerhavet	01s	Västkustens inre kustvatten	3	1	17.6	15.7	12	8	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.13794331	3.579829769	25
Coastal	CoastBQI	No unit	1,2,..,12	>20 m	Västerhavet	2	Västkustens fjordar	3	1	17.6	15.7	12	8	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.13794331	3.579829769	21
Coastal	CoastBQI	No unit	1,2,..,12	>20 m	Västerhavet	3	Skagerak, Västkustens yttre kustvatten	3	1	17.6	15.7	12	8	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.13794331	3.579829769	11
Coastal	CoastBQI	No unit	1,2,..,12	>20 m	Västerhavet	25	Göta Älvs- och Nordre Älvs estuarie	3	1	17.6	15.7	12	8	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.13794331	3.579829769	3
Coastal	CoastBQI	No unit	1,2,..,12	>20 m	Västerhavet	4	Kattegat, Västkustens yttre kustvatten	3	1	17.6	15.7	12	8	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.13794331	3.579829769	5
Coastal	CoastBQI	No unit	1,2,..,12	>20 m	Västerhavet	5	Södra Hallands och norra Öresunds kustvatten	3	1	17.6	15.7	12	8	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.13794331	3.579829769	6
Coastal	CoastBQI	No unit	1,2,..,12	>20 m	Västerhavet	6	Öresunds kustvatten	3	1	17.6	15.7	12	8	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.13794331	3.579829769	6
Coastal	CoastBQI	No unit	1,2,..,12	5-20 m	Västerhavet	01n	Västkustens inre kustvatten	3	1	15.7	13.9	10.3	6.9	3.4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.37275724	12.20534442	41
Coastal	CoastBQI	No unit	1,2,..,12	5-20 m	Västerhavet	01s	Västkustens inre kustvatten	3	1	15.7	13.9	10.3	6.9	3.4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.37275724	12.20534442	25
Coastal	CoastBQI	No unit	1,2,..,12	5-20 m	Västerhavet	2	Västkustens fjordar	3	1	15.7	13.9	10.3	6.9	3.4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.37275724	12.20534442	21
Coastal	CoastBQI	No unit	1,2,..,12	5-20 m	Västerhavet	3	Skagerak, Västkustens yttre kustvatten	3	1	15.7	13.9	10.3	6.9	3.4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.37275724	12.20534442	11
Coastal	CoastBQI	No unit	1,2,..,12	5-20 m	Västerhavet	25	Göta Älvs- och Nordre Älvs estuarie	3	1	15.7	13.9	10.3	6.9	3.4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.37275724	12.20534442	3
Coastal	CoastBQI	No unit	1,2,..,12	5-20 m	Västerhavet	4	Kattegat, Västkustens yttre kustvatten	3	1	15.7	13.9	10.3	6.9	3.4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.37275724	12.20534442	5
Coastal	CoastBQI	No unit	1,2,..,12	5-20 m	Västerhavet	5	Södra Hallands och norra Öresunds kustvatten	3	1	15.7	13.9	10.3	6.9	3.4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.37275724	12.20534442	6
Coastal	CoastBQI	No unit	1,2,..,12	5-20 m	Västerhavet	6	Öresunds kustvatten	3	1	15.7	13.9	10.3	6.9	3.4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.37275724	12.20534442	6
Coastal	CoastBQI	No unit	1,2,..,12	5-60 m	Egentliga Östersjön	7	Skånes kustvatten	3	1	14	10.7	4	2.7	1.8	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.389600883	2.94952519	12
Coastal	CoastBQI	No unit	1,2,..,12	5-60 m	Egentliga Östersjön	8	Blekinge skärgårds och Kalmarsunds inre kustvatten	3	1	14	10.5	3.5	2.3	1.6	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.389600883	2.94952519	43
Coastal	CoastBQI	No unit	1,2,..,12	5-60 m	Egentliga Östersjön	9	Blekinge skärgård, och Kalmarsunds yttre kustvatten	3	1	14	10.7	4	2.7	1.8	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.389600883	2.94952519	12
Coastal	CoastBQI	No unit	1,2,..,12	5-60 m	Egentliga Östersjön	10	Östra Ölands, sydöstra Gotlands kustvatten samt Gotska sandön	3	1	12	9.3	4	2.7	1.8	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.389600883	2.94952519	21
Coastal	CoastBQI	No unit	1,2,..,12	5-60 m	Egentliga Östersjön	11	Gotlands västra och norra kustvatten	3	1	10	8	4	2.7	1.8	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.389600883	2.94952519	6
Coastal	CoastBQI	No unit	1,2,..,12	5-60 m	Egentliga Östersjön	12n	Östergötlands samt Stockholms skärgård, mellankustvatten	3	1	14	10.7	4	2.7	1.8	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.389600883	2.94952519	99
Coastal	CoastBQI	No unit	1,2,..,12	5-60 m	Egentliga Östersjön	12s	Östergötlands samt Stockholms skärgård, mellankustvatten	3	1	14	10.7	4	2.7	1.8	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.389600883	2.94952519	61
Coastal	CoastBQI	No unit	1,2,..,12	5-60 m	Egentliga Östersjön	13	Östergötlands inre skärgård	3	1	12	9	3	2	1.3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.389600883	2.94952519	9
Coastal	CoastBQI	No unit	1,2,..,12	5-60 m	Egentliga Östersjön	14	Östergötlands, yttre kustvatten	3	1	14	10.7	4	2.7	1.8	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.389600883	2.94952519	10
Coastal	CoastBQI	No unit	1,2,..,12	5-60 m	Egentliga Östersjön	15	Stockholms skärgård, yttre kustvatten	3	1	14	10.7	4	2.7	1.8	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.389600883	2.94952519	22
Coastal	CoastBQI	No unit	1,2,..,12	5-60 m	Egentliga Östersjön	24	Stockholms inre skärgård og Hallsfjärden	3	1	10	7.7	3	2	1.3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.389600883	2.94952519	19
Coastal	CoastBQI	No unit	1,2,..,12	>5 m	Bottenhavet	16	Södra Bottenhavet, inre kustvatten	3	1	14	10.7	4	2.7	1.8	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.555763659	1.670885354	40
Coastal	CoastBQI	No unit	1,2,..,12	>5 m	Bottenhavet	17	Södra Bottenhavet, yttre kustvatten	3	1	13	10	4	2.7	1.8	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.555763659	1.670885354	13
Coastal	CoastBQI	No unit	1,2,..,12	>5 m	Bottenhavet	18	Norra Bottenhavet, Höga kustens inre kustvatten	3	1	13	10	4	2.7	1.8	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.555763659	1.670885354	43
Coastal	CoastBQI	No unit	1,2,..,12	>5 m	Bottenhavet	19	Norra Bottenhavet, Höga kustens yttre kustvatten	3	1	13	10	4	2.7	1.8	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.555763659	1.670885354	13
Coastal	CoastBQI	No unit	1,2,..,12	>5 m	Bottenviken	20	Norra Kvarkens inre kustvatten	3	1	13	10	4	2.7	1.8	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.555763659	1.670885354	15
Coastal	CoastBQI	No unit	1,2,..,12	>5 m	Bottenviken	21	Norra Kvarkens yttre kustvatten	3	1	13	10	4	2.7	1.8	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.555763659	1.670885354	2
Coastal	CoastBQI	No unit	1,2,..,12	>5 m	Bottenviken	22	Bottenviken, inre kustvatten	3	1	13	7.5	2	1.3	0.9	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.555763659	1.670885354	86
Coastal	CoastBQI	No unit	1,2,..,12	>5 m	Bottenviken	23	Bottenviken, yttre kustvatten	3	1	11	6.3	1.5	1	0.7	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.555763659	1.670885354	10
Coastal	CoastMSMDI	No unit	1,2,..,12	NA	Västerhavet	01n	Västkustens inre kustvatten	3	3	1	0.8	0.6	0.4	0.2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.006678138	0.006507678	41
Coastal	CoastMSMDI	No unit	1,2,..,12	NA	Västerhavet	01s	Västkustens inre kustvatten	3	3	1	0.8	0.6	0.4	0.2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.006678138	0.006507678	25
Coastal	CoastMSMDI	No unit	1,2,..,12	NA	Västerhavet	2	Västkustens fjordar	3	3	1	0.8	0.6	0.4	0.2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.006678138	0.006507678	21
Coastal	CoastMSMDI	No unit	1,2,..,12	NA	Västerhavet	3	Skagerak, Västkustens yttre kustvatten	3	3	1	0.8	0.6	0.4	0.2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004074799	0.002748106	11
Coastal	CoastMSMDI	No unit	1,2,..,12	NA	Västerhavet	25	Göta Älvs- och Nordre Älvs estuarie	3	3	1	0.8	0.6	0.4	0.2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.006678138	0.006507678	3
Coastal	CoastMSMDI	No unit	1,2,..,12	NA	Västerhavet	4	Kattegat, Västkustens yttre kustvatten	3	3	1	0.8	0.6	0.4	0.2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004074799	0.002748106	5
Coastal	CoastMSMDI	No unit	1,2,..,12	NA	Västerhavet	5	Södra Hallands och norra Öresunds kustvatten	3	3	1	0.8	0.6	0.4	0.2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004074799	0.002748106	6
Coastal	CoastMSMDI	No unit	1,2,..,12	NA	Västerhavet	6	Öresunds kustvatten	3	3	1	0.8	0.6	0.4	0.2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004074799	0.002748106	6
Coastal	CoastMSMDI	No unit	1,2,..,12	NA	Egentliga Östersjön	7	Skånes kustvatten	3	3	1	0.8	0.6	0.4	0.2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004074799	0.002748106	12
Coastal	CoastMSMDI	No unit	1,2,..,12	NA	Egentliga Östersjön	8	Blekinge skärgårds och Kalmarsunds inre kustvatten	3	3	1	0.8	0.6	0.4	0.2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.006678138	0.006507678	43
Coastal	CoastMSMDI	No unit	1,2,..,12	NA	Egentliga Östersjön	9	Blekinge skärgård, och Kalmarsunds yttre kustvatten	3	3	1	0.8	0.6	0.4	0.2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004074799	0.002748106	12
Coastal	CoastMSMDI	No unit	1,2,..,12	NA	Egentliga Östersjön	10	Östra Ölands, sydöstra Gotlands kustvatten samt Gotska sandön	3	3	1	0.8	0.6	0.4	0.2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004074799	0.002748106	21
Coastal	CoastMSMDI	No unit	1,2,..,12	NA	Egentliga Östersjön	11	Gotlands västra och norra kustvatten	3	3	1	0.8	0.6	0.4	0.2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004074799	0.002748106	6
Coastal	CoastMSMDI	No unit	1,2,..,12	NA	Egentliga Östersjön	12n	Östergötlands samt Stockholms skärgård, mellankustvatten	3	3	1	0.8	0.6	0.4	0.2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.006678138	0.006507678	99
Coastal	CoastMSMDI	No unit	1,2,..,12	NA	Egentliga Östersjön	12s	Östergötlands samt Stockholms skärgård, mellankustvatten	3	3	1	0.8	0.6	0.4	0.2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.006678138	0.006507678	61
Coastal	CoastMSMDI	No unit	1,2,..,12	NA	Egentliga Östersjön	13	Östergötlands inre skärgård	3	3	1	0.8	0.6	0.4	0.2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.006678138	0.006507678	9
Coastal	CoastMSMDI	No unit	1,2,..,12	NA	Egentliga Östersjön	14	Östergötlands, yttre kustvatten	3	3	1	0.8	0.6	0.4	0.2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004074799	0.002748106	10
Coastal	CoastMSMDI	No unit	1,2,..,12	NA	Egentliga Östersjön	15	Stockholms skärgård, yttre kustvatten	3	3	1	0.8	0.6	0.4	0.2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004074799	0.002748106	22
Coastal	CoastMSMDI	No unit	1,2,..,12	NA	Egentliga Östersjön	24	Stockholms inre skärgård og Hallsfjärden	3	3	1	0.8	0.6	0.4	0.2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.006678138	0.006507678	19
Coastal	CoastMSMDI	No unit	1,2,..,12	NA	Bottenhavet	16	Södra Bottenhavet, inre kustvatten	3	3	1	0.8	0.6	0.4	0.2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.006678138	0.006507678	40
Coastal	CoastMSMDI	No unit	1,2,..,12	NA	Bottenhavet	17	Södra Bottenhavet, yttre kustvatten	3	3	1	0.8	0.6	0.4	0.2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004074799	0.002748106	13
Coastal	CoastMSMDI	No unit	1,2,..,12	NA	Bottenhavet	18	Norra Bottenhavet, Höga kustens inre kustvatten	3	3	1	0.8	0.6	0.4	0.2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.006678138	0.006507678	43
Coastal	CoastMSMDI	No unit	1,2,..,12	NA	Bottenhavet	19	Norra Bottenhavet, Höga kustens yttre kustvatten	3	3	1	0.8	0.6	0.4	0.2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004074799	0.002748106	13
Coastal	CoastMSMDI	No unit	1,2,..,12	NA	Bottenviken	20	Norra Kvarkens inre kustvatten	3	3	1	0.8	0.6	0.4	0.2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.006678138	0.006507678	15
Coastal	CoastMSMDI	No unit	1,2,..,12	NA	Bottenviken	21	Norra Kvarkens yttre kustvatten	3	3	1	0.8	0.6	0.4	0.2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004074799	0.002748106	2
Coastal	CoastMSMDI	No unit	1,2,..,12	NA	Bottenviken	22	Bottenviken, inre kustvatten	3	3	1	0.8	0.6	0.4	0.2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.006678138	0.006507678	86
Coastal	CoastMSMDI	No unit	1,2,..,12	NA	Bottenviken	23	Bottenviken, yttre kustvatten	3	3	1	0.8	0.6	0.4	0.2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004074799	0.002748106	10
Coastal	CoastChla	µg/l	6,7,8	NA	Västerhavet	01n	Västkustens inre kustvatten	3	3	1.3	1.7	2.1	3.7	6.7	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.60996605	23.78857372	41
Coastal	CoastChla	µg/l	6,7,8	NA	Västerhavet	01s	Västkustens inre kustvatten	3	3	1.6	2.1	2.8	4.6	8	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.60996605	23.78857372	25
Coastal	CoastChla	µg/l	6,7,8	NA	Västerhavet	2	Västkustens fjordar	3	3	1.9	2.4	3.6	5.6	8.3	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.60996605	23.78857372	21
Coastal	CoastChla	µg/l	6,7,8	NA	Västerhavet	3	Skagerak, Västkustens yttre kustvatten	3	3	1.1	1.4	1.8	3.5	6.2	12.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.059620914	2.033621557	11
Coastal	CoastChla	µg/l	6,7,8	NA	Västerhavet	25	Göta Älvs- och Nordre Älvs estuarie	3	3	1.8	2.1	2.7	4.1	6.5	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.60996605	23.78857372	3
Coastal	CoastChla	µg/l	6,7,8	NA	Västerhavet	4	Kattegat, Västkustens yttre kustvatten	3	3	1	1.2	1.5	3	6	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.059620914	2.033621557	5
Coastal	CoastChla	µg/l	6,7,8	NA	Västerhavet	5	Södra Hallands och norra Öresunds kustvatten	3	3	1	1.2	1.5	3	6	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.059620914	2.033621557	6
Coastal	CoastChla	µg/l	6,7,8	NA	Västerhavet	6	Öresunds kustvatten	3	3	0.9	1.1	1.5	2.4	4.9	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.059620914	2.033621557	6
Coastal	CoastChla	µg/l	6,7,8	NA	Egentliga Östersjön	7	Skånes kustvatten	3	2	1.2	1.5	1.8	3.4	8	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.059620914	2.033621557	12
Coastal	CoastChla	µg/l	6,7,8	NA	Egentliga Östersjön	8	Blekinge skärgårds och Kalmarsunds inre kustvatten	3	2	1.2	1.5	1.8	3.4	8	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.60996605	23.78857372	43
Coastal	CoastChla	µg/l	6,7,8	NA	Egentliga Östersjön	9	Blekinge skärgård, och Kalmarsunds yttre kustvatten	3	2	1.2	1.5	1.8	3.4	8	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.059620914	2.033621557	12
Coastal	CoastChla	µg/l	6,7,8	NA	Egentliga Östersjön	10	Östra Ölands, sydöstra Gotlands kustvatten samt Gotska sandön	3	2	1.2	1.5	1.8	3.4	8	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.059620914	2.033621557	21
Coastal	CoastChla	µg/l	6,7,8	NA	Egentliga Östersjön	11	Gotlands västra och norra kustvatten	3	2	1.2	1.5	1.8	3.4	8	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.059620914	2.033621557	6
Coastal	CoastChla	µg/l	6,7,8	NA	Egentliga Östersjön	12n	Östergötlands samt Stockholms skärgård, mellankustvatten	3	2	1.2	1.5	1.8	3.4	8	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.60996605	23.78857372	99
Coastal	CoastChla	µg/l	6,7,8	NA	Egentliga Östersjön	12s	Östergötlands samt Stockholms skärgård, mellankustvatten	3	2	1.2	1.5	1.8	3.4	8	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.60996605	23.78857372	61
Coastal	CoastChla	µg/l	6,7,8	NA	Egentliga Östersjön	13	Östergötlands inre skärgård	3	2	1.2	1.5	1.8	3.4	8	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.60996605	23.78857372	9
Coastal	CoastChla	µg/l	6,7,8	NA	Egentliga Östersjön	14	Östergötlands, yttre kustvatten	3	2	1.2	1.5	1.8	3.4	8	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.059620914	2.033621557	10
Coastal	CoastChla	µg/l	6,7,8	NA	Egentliga Östersjön	15	Stockholms skärgård, yttre kustvatten	3	2	1.2	1.5	1.8	3.4	8	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.059620914	2.033621557	22
Coastal	CoastChla	µg/l	6,7,8	NA	Egentliga Östersjön	24	Stockholms inre skärgård og Hallsfjärden	3	2	1.2	1.5	1.8	3.4	8	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.60996605	23.78857372	19
Coastal	CoastChla	µg/l	6,7,8	NA	Bottenhavet	16	Södra Bottenhavet, inre kustvatten	3	2	1.4	1.8	2.3	4.3	10.1	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.60996605	23.78857372	40
Coastal	CoastChla	µg/l	6,7,8	NA	Bottenhavet	17	Södra Bottenhavet, yttre kustvatten	3	2	1.2	1.5	2	3.7	8.7	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.059620914	2.033621557	13
Coastal	CoastChla	µg/l	6,7,8	NA	Bottenhavet	18	Norra Bottenhavet, Höga kustens inre kustvatten	3	2	1.4	1.8	2.3	4.3	10.1	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.60996605	23.78857372	43
Coastal	CoastChla	µg/l	6,7,8	NA	Bottenhavet	19	Norra Bottenhavet, Höga kustens yttre kustvatten	3	2	1.2	1.5	2	3.7	8.7	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.059620914	2.033621557	13
Coastal	CoastChla	µg/l	6,7,8	NA	Bottenviken	20	Norra Kvarkens inre kustvatten	3	2	1.4	1.8	2.3	4.3	10.1	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.60996605	23.78857372	15
Coastal	CoastChla	µg/l	6,7,8	NA	Bottenviken	21	Norra Kvarkens yttre kustvatten	3	2	1.2	1.5	2	3.7	8.7	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.059620914	2.033621557	2
Coastal	CoastChla	µg/l	6,7,8	NA	Bottenviken	22	Bottenviken, inre kustvatten	3	2	1.4	1.8	2.3	4.3	10.1	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.60996605	23.78857372	86
Coastal	CoastChla	µg/l	6,7,8	NA	Bottenviken	23	Bottenviken, yttre kustvatten	3	2	1.2	1.5	2	3.7	8.7	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.059620914	2.033621557	10
Coastal	CoastChlaEQR	No unit	6,7,8	NA	Västerhavet	01n	Västkustens inre kustvatten	3	3	1	0.76	0.62	0.35	0.19	0	14.3	-0.158	27	1.15	0	1	NA	NA	NA	NA	0.022475015	0.036708962	41
Coastal	CoastChlaEQR	No unit	6,7,8	NA	Västerhavet	01s	Västkustens inre kustvatten	3	3	1	0.76	0.62	0.35	0.19	0	21.5	-0.473	20	1.6	0	1	NA	NA	NA	NA	0.022475015	0.036708962	25
Coastal	CoastChlaEQR	No unit	6,7,8	NA	Västerhavet	2	Västkustens fjordar	3	3	1	0.79	0.53	0.34	0.23	0	14.3	-0.158	27	1.37	0	1	NA	NA	NA	NA	0.022475015	0.036708962	21
Coastal	CoastChlaEQR	No unit	6,7,8	NA	Västerhavet	3	Skagerak, Västkustens yttre kustvatten	3	3	1	0.79	0.63	0.31	0.18	0	14.3	-0.158	27	0.99	0	1	NA	NA	NA	NA	0.014999822	0.025614047	11
Coastal	CoastChlaEQR	No unit	6,7,8	NA	Västerhavet	25	Göta Älvs- och Nordre Älvs estuarie	3	3	1	0.86	0.67	0.44	0.28	0	21.5	-0.473	20	1.8	0	1	NA	NA	NA	NA	0.022475015	0.036708962	3
Coastal	CoastChlaEQR	No unit	6,7,8	NA	Västerhavet	4	Kattegat, Västkustens yttre kustvatten	3	3	1	0.83	0.67	0.33	0.17	0	21.5	-0.473	20	1	0	1	NA	NA	NA	NA	0.014999822	0.025614047	5
Coastal	CoastChlaEQR	No unit	6,7,8	NA	Västerhavet	5	Södra Hallands och norra Öresunds kustvatten	3	3	1	0.83	0.67	0.33	0.17	0	17	-0.25	20	0.99	0	1	NA	NA	NA	NA	0.014999822	0.025614047	6
Coastal	CoastChlaEQR	No unit	6,7,8	NA	Västerhavet	6	Öresunds kustvatten	3	3	1	0.82	0.59	0.37	0.18	0	17	-0.25	20	0.94	0	1	NA	NA	NA	NA	0.014999822	0.025614047	6
Coastal	CoastChlaEQR	No unit	6,7,8	NA	Egentliga Östersjön	7	Skånes kustvatten	3	2	1	0.8	0.67	0.35	0.15	0	35	-2.856	7	1.3	0	1	NA	NA	NA	NA	0.014999822	0.025614047	12
Coastal	CoastChlaEQR	No unit	6,7,8	NA	Egentliga Östersjön	8	Blekinge skärgårds och Kalmarsunds inre kustvatten	3	2	1	0.8	0.67	0.35	0.15	0	33.8	-2.679	7	0.26	0.0051	1.9974	NA	NA	NA	NA	0.022475015	0.036708962	43
Coastal	CoastChlaEQR	No unit	6,7,8	NA	Egentliga Östersjön	9	Blekinge skärgård, och Kalmarsunds yttre kustvatten	3	2	1	0.8	0.67	0.35	0.15	0	33.8	-2.679	7	1.3	0	1	NA	NA	NA	NA	0.014999822	0.025614047	12
Coastal	CoastChlaEQR	No unit	6,7,8	NA	Egentliga Östersjön	10	Östra Ölands, sydöstra Gotlands kustvatten samt Gotska sandön	3	2	1	0.8	0.67	0.35	0.15	0	15	0	7	1.4	0	1	NA	NA	NA	NA	0.014999822	0.025614047	21
Coastal	CoastChlaEQR	No unit	6,7,8	NA	Egentliga Östersjön	11	Gotlands västra och norra kustvatten	3	2	1	0.8	0.67	0.35	0.15	0	15	0	7	1.4	0	1	NA	NA	NA	NA	0.014999822	0.025614047	6
Coastal	CoastChlaEQR	No unit	6,7,8	NA	Egentliga Östersjön	12n	Östergötlands samt Stockholms skärgård, mellankustvatten	3	2	1	0.8	0.67	0.35	0.15	0	23.9	-1.483	6	0.26	0.0051	1.9974	NA	NA	NA	NA	0.022475015	0.036708962	99
Coastal	CoastChlaEQR	No unit	6,7,8	NA	Egentliga Östersjön	12s	Östergötlands samt Stockholms skärgård, mellankustvatten	3	2	1	0.8	0.67	0.35	0.15	0	31.7	-2.775	6	0.26	0.0051	1.9974	NA	NA	NA	NA	0.022475015	0.036708962	61
Coastal	CoastChlaEQR	No unit	6,7,8	NA	Egentliga Östersjön	13	Östergötlands inre skärgård	3	2	1	0.8	0.67	0.35	0.15	0	31.7	-2.775	6	0.26	0.0051	1.9974	NA	NA	NA	NA	0.022475015	0.036708962	9
Coastal	CoastChlaEQR	No unit	6,7,8	NA	Egentliga Östersjön	14	Östergötlands, yttre kustvatten	3	2	1	0.8	0.67	0.35	0.15	0	31.7	-2.775	6	1.4	0	1	NA	NA	NA	NA	0.014999822	0.025614047	10
Coastal	CoastChlaEQR	No unit	6,7,8	NA	Egentliga Östersjön	15	Stockholms skärgård, yttre kustvatten	3	2	1	0.8	0.67	0.35	0.15	0	23.9	-1.483	6	14	0	1	NA	NA	NA	NA	0.014999822	0.025614047	22
Coastal	CoastChlaEQR	No unit	6,7,8	NA	Egentliga Östersjön	24	Stockholms inre skärgård og Hallsfjärden	3	2	1	0.8	0.67	0.35	0.15	0	23.9	-1.483	6	0.26	0.0051	1.9974	NA	NA	NA	NA	0.022475015	0.036708962	19
Coastal	CoastChlaEQR	No unit	6,7,8	NA	Bottenhavet	16	Södra Bottenhavet, inre kustvatten	3	2	1	0.78	0.61	0.33	0.14	0	20.4	-0.87	5	1.4	0	1	NA	NA	NA	NA	0.022475015	0.036708962	40
